output,parameter,S1,S1_conf,ST,ST_conf
d_collapse,nu,nan,nan,nan,nan
d_collapse,G,nan,nan,nan,nan
d_collapse,q,nan,nan,nan,nan
d_collapse,mu,nan,nan,nan,nan
d_collapse,beta_trade_off,nan,nan,nan,nan
d_collapse,h_mean,nan,nan,nan,nan
d_collapse,r_mean,nan,nan,nan,nan
d_collapse,C_diag_mean,nan,nan,nan,nan
d_collapse,s,nan,nan,nan,nan
d_collapse,c,nan,nan,nan,nan
d_collapse,c_prime,nan,nan,nan,nan
d_collapse,gamma,nan,nan,nan,nan
d_collapse,kappa,nan,nan,nan,nan
d_collapse,sigma,nan,nan,nan,nan
d_recovery,nu,nan,nan,nan,nan
d_recovery,G,nan,nan,nan,nan
d_recovery,q,nan,nan,nan,nan
d_recovery,mu,nan,nan,nan,nan
d_recovery,beta_trade_off,nan,nan,nan,nan
d_recovery,h_mean,nan,nan,nan,nan
d_recovery,r_mean,nan,nan,nan,nan
d_recovery,C_diag_mean,nan,nan,nan,nan
d_recovery,s,nan,nan,nan,nan
d_recovery,c,nan,nan,nan,nan
d_recovery,c_prime,nan,nan,nan,nan
d_recovery,gamma,nan,nan,nan,nan
d_recovery,kappa,nan,nan,nan,nan
d_recovery,sigma,nan,nan,nan,nan
hysteresis_width,nu,nan,nan,nan,nan
hysteresis_width,G,nan,nan,nan,nan
hysteresis_width,q,nan,nan,nan,nan
hysteresis_width,mu,nan,nan,nan,nan
hysteresis_width,beta_trade_off,nan,nan,nan,nan
hysteresis_width,h_mean,nan,nan,nan,nan
hysteresis_width,r_mean,nan,nan,nan,nan
hysteresis_width,C_diag_mean,nan,nan,nan,nan
hysteresis_width,s,nan,nan,nan,nan
hysteresis_width,c,nan,nan,nan,nan
hysteresis_width,c_prime,nan,nan,nan,nan
hysteresis_width,gamma,nan,nan,nan,nan
hysteresis_width,kappa,nan,nan,nan,nan
hysteresis_width,sigma,nan,nan,nan,nan
